epoch,loss,val_loss
0,0.024690338691109665,0.011444896848693695
1,0.013990525718667804,0.00869304207089829
2,0.011429609407641027,0.010697604756649227
3,0.010739160782432176,0.00820128393219146
4,0.010096074643302453,0.0065175929132287634
5,0.009616713363838863,0.006343398600408476
6,0.0093671822916189,0.00621828025411049
7,0.009235481433910593,0.006155215379182403
8,0.009066137079081443,0.006199510819087289
9,0.009005813478794136,0.005943286069987776
10,0.008875702775708616,0.005904209739464807
11,0.008832385514748015,0.005796158443881224
12,0.008761538024651542,0.0059277250603708915
13,0.008600865926627564,0.005775193135215811
14,0.008977458793159625,0.00575743239589852
15,0.0087517813809182,0.005775415781910901
16,0.00857336869778018,0.005694957804062391
17,0.008587944831648101,0.005745963397601696
18,0.008604920740328627,0.0057009714272842835
19,0.00837208159569838,0.005792467612518023
20,0.008637710948598032,0.0057342780581739255
21,0.008605202973594881,0.005683629049549568
22,0.008246172776607346,0.0056974886954851344
23,0.008476671154640581,0.00570695445400803
24,0.00861261503082024,0.005722703204860222
25,0.00863913654298713,0.005723010040564488
26,0.008434495655819774,0.005737465914747078
27,0.008224257948429889,0.005730366305613967
28,0.008560565976451521,0.005708536123601745
29,0.00846205517271168,0.005727826155186312
30,0.008121255871342265,0.005712137726607592
31,0.008661220112781478,0.005721109326010289
