epoch,loss,protest_out_loss,val_loss,val_protest_out_loss,val_violence_out_loss,violence_out_loss
0,0.7392751565934476,0.5521406805367058,1.3157221679594002,1.1955069787362043,0.012021518710931631,0.018713447525890065
1,0.9161140241157946,0.5223119986970075,1.7076761168592116,1.2728033419917613,0.043487277228896525,0.03938020254346342
2,0.964733108058962,0.5329734606970667,1.7496636224728004,1.3149544336047827,0.043470919281974725,0.04317596485394575
3,0.8831645885180116,0.4514587843956436,1.4892226506682003,1.0547557235932818,0.043446692481052644,0.04317058035884423
4,0.8663291621036554,0.4346502894116322,1.2679076421494577,0.8339746062662087,0.04339330365844801,0.04316788720435107
5,0.8568916884860444,0.42594504009210626,1.4431266700520236,1.026338357551425,0.0416788312807387,0.04309466496446409
6,0.5806231826387774,0.42886152325188304,1.2587558084843204,1.0436350121217615,0.021512079878947606,0.015176165936319999
7,0.461609342705985,0.4073040849036727,1.1440794659595863,1.0145137501697914,0.012956571616415008,0.005430525811384517
8,0.45021354804956476,0.40467949102374273,1.299915522220088,1.2303845917477327,0.0069530932470133495,0.004553405679409613
9,0.45585208276959616,0.4107306577577329,1.1553077310908075,1.0441872594403285,0.011112047300454887,0.004512142461496168
10,0.44677628668424973,0.40637556520041995,1.0787134377395406,0.9714162821863211,0.010729715393344854,0.004040072165666232
11,0.4311503222241452,0.39725184218265625,0.9817724813433254,0.8708240800044116,0.011094840222458336,0.0033898480369554617
12,0.42735590809146773,0.3947625381199165,0.9809091861341513,0.8878566992049124,0.009305248735700825,0.00325933695377746
13,0.42531781388124873,0.394260443805556,1.0853060490944806,0.9842470148030449,0.010105903301954123,0.003105736965034439
14,0.4251101238175212,0.3941424186902209,1.0412727742802863,0.9507396854606329,0.009053309133057208,0.003096770531775144
15,0.4213909872500372,0.3916183384184126,1.026474206237232,0.9511089925672493,0.007536521444539996,0.0029772649492593958
16,0.41714659420997685,0.38788544638228667,1.05484527852021,0.9760223122204051,0.007882296523380586,0.00292611479371343
17,0.4191223964758256,0.38927996474566884,1.0228112377372442,0.9475082975976608,0.007530293796741056,0.0029842432114011177
18,0.4175298782114271,0.3879351220556891,1.0062941783783483,0.9314406030318316,0.0074853576843024175,0.0029594756253277766
19,0.41874511477522824,0.389348123866226,1.0034958773968266,0.9267981841283686,0.007669769156400078,0.002939699096061961
20,0.42073913427625653,0.39154487456248693,0.9992941449670231,0.9255417321242538,0.007375241659910364,0.002919425976755834
21,0.4204076716764123,0.3926991894451111,0.9962155622594496,0.9239129746661466,0.007230258748556177,0.0027708481838189932
22,0.4168789258607083,0.3879344633912073,1.0014708198753057,0.9222281785572276,0.007924264426772281,0.002894446255186029
