epoch,loss,protest_out_loss,val_loss,val_protest_out_loss,val_violence_out_loss,violence_out_loss
0,0.4278345619040634,0.3878658740288768,0.41721991023012234,0.39594866741521684,0.002127124215350669,0.003996868766037442
1,0.3151819668320149,0.29552060010701575,0.32760978802746415,0.30678424347265093,0.0020825543579549586,0.0019661367085168587
2,0.28292578128190876,0.2661033065706804,0.2907995451899136,0.2742117631669138,0.001658778249254158,0.0016822475019047135
3,0.23011566286038665,0.21649932510253647,0.26434049357970557,0.2506118426282032,0.0013728650320890845,0.001361633833228895
4,0.205851827065475,0.19339312533287242,0.25915659898344207,0.24666832571520525,0.0012488273402399784,0.0012458701655890744
5,0.19290847562897112,0.18117106256089832,0.2570320283227107,0.2450451213209068,0.0011986906058725664,0.0011737413239229228
6,0.18207458000513116,0.1703846479488137,0.28828255060841057,0.27620844200399575,0.0012074108383767809,0.0011689931906884155
7,0.1485524322978996,0.13799549357390217,0.2683097023736028,0.25639190230445535,0.0011917801063699538,0.001055693883926043
8,0.13432093390327005,0.12410346825280427,0.26884738180567236,0.25666391963467877,0.001218346098618235,0.0010217465683721866
9,0.12717680966345038,0.11714008008983201,0.28242050796455026,0.27052178788272774,0.0011898719848307106,0.0010036729594841498
10,0.11647187227490528,0.10665279057630245,0.2851626199761442,0.2726365718552295,0.0012526048190136185,0.000981908174239191
11,0.09831149018788954,0.08888083663695925,0.30370956076418654,0.291458978898385,0.001225058111252592,0.0009430653355393683
12,0.09381956391582626,0.08441627679663315,0.30317082229782555,0.29071708983358213,0.0012453731793143294,0.0009403287225275429
13,0.08630483572466387,0.07703871269806664,0.3042536453216099,0.29237402370016946,0.0011879621257642559,0.0009266123009073982
14,0.08201160636018591,0.07312679454850042,0.3231437520653594,0.31125874287065336,0.0011885009735124186,0.0008884811784129223
15,0.07536676963937532,0.06657248485409191,0.32251974253677856,0.3103609430366287,0.0012158800297423595,0.0008794284752360652
