epoch,loss,val_loss
0,0.026787083140961385,0.0276009412227224
1,0.02552651313716146,0.026558319693558836
2,0.024355053523189674,0.0254043743065367
3,0.023406760962722508,0.025037599906121213
4,0.023502824421903993,0.02495545878598135
5,0.022979890740557347,0.024435260231058076
6,0.022884503474722713,0.024106093746137945
7,0.02255583348041868,0.023512582039486054
8,0.0225126584779182,0.023490478067773664
9,0.022310558242987007,0.0237377531673402
10,0.02241487226972025,0.023460024278866103
11,0.02238038853746435,0.023373692232656153
12,0.022140709776856584,0.02341808800981061
13,0.021857030630179738,0.02316274300013503
14,0.022388924236439133,0.02321198373420598
15,0.022269318628733017,0.023339900532609797
16,0.02206837655508627,0.02303060151840726
17,0.022526655222829345,0.0234808162339542
18,0.02241215319479029,0.023340248541064458
19,0.021938993200047375,0.02340158055957458
20,0.02183493085579785,0.023236978263275265
21,0.022160896623175438,0.02314599533246396
22,0.022032712024878966,0.02328013818813105
23,0.021910543732140977,0.023222239164967243
24,0.021990553514189916,0.023177626848935266
25,0.021918360386298946,0.023028072008021074
26,0.021774567595627754,0.023157510740605937
27,0.021735259535888285,0.023367445852148207
28,0.02208479204253383,0.0229452583454039
29,0.022152106707158697,0.023412450063616447
30,0.021865638491769902,0.0231041451150628
31,0.02197147180543166,0.023285568946946975
32,0.02195945327259498,0.023224258208519793
33,0.021871017139047794,0.023286765262688677
34,0.022252724354993127,0.023097417151478873
35,0.022289942103740017,0.023304656862396085
36,0.02222285547706226,0.02315933725554241
37,0.02166898190958179,0.023302448339352053
38,0.022472451904524952,0.023279065164188817
