epoch,loss,val_loss,val_violence_out_loss,val_visual_out_loss,violence_out_loss,visual_out_loss
0,1.6837164686150747,1.3718747080188909,0.015248535194574562,0.24387787037516293,0.021169881761652423,0.29440353096347965
1,1.4509711039665083,1.2888187757910115,0.009404359710696216,0.23895503703045518,0.01319705934548691,0.2638001028261228
2,1.3846401860724846,1.2382201674866349,0.007850271132966019,0.23194349138704065,0.011571440565055364,0.25378515561149545
3,1.3233628678539573,1.2228571241849089,0.008115804664892694,0.2283398159970976,0.009947813059666862,0.24477694670087127
4,1.2938559673148202,1.1826421136725438,0.00669657146519892,0.22313528191553403,0.009150088697748438,0.24047101646253508
5,1.2797429659595227,1.1620959574229097,0.005862532138875495,0.22069412878114883,0.009187161882054996,0.2375742688979188
6,1.2612387295727316,1.1551348371048495,0.005561712242611875,0.21990354155024436,0.008889192194341932,0.23446936184140646
7,1.2342550800815564,1.1407958073158786,0.00465956910143364,0.2188400246509134,0.008392812837272475,0.23006539019547642
8,1.2259479369202706,1.1457213759422302,0.005841861989298095,0.21746055067402043,0.008429847710838193,0.228329891619617
9,1.2120118149339336,1.1678957726857433,0.005107669679652134,0.2233638155133757,0.008035784446927782,0.22633079333936787
10,1.2125664992963887,1.1482029802178684,0.005023181658518845,0.21959423426895924,0.007894055685028434,0.2267251889047013
11,1.2033325771218566,1.1402678595830316,0.00490443378189349,0.21824470346104607,0.008040996189718241,0.22458452326522027
12,1.1868269364583437,1.139782431190961,0.005355292455969404,0.21724590169240351,0.00745387321133932,0.22245763990704873
13,1.183608544199434,1.1414549391563624,0.00496263040408288,0.21836572558912512,0.0074963352874720885,0.22172903851287007
14,1.1777843838413011,1.1411817890324005,0.0047535879205759255,0.2187291832819377,0.007783160028239228,0.21999055705114043
15,1.1767223458311873,1.133253811973415,0.004792222804198526,0.21706631677607968,0.00749270607224032,0.22035905705195039
16,1.17390480623942,1.1300799724173873,0.0047146484721452,0.21658669616261575,0.007266780033018695,0.2202474007459536
17,1.1727613945529884,1.1329944680814874,0.0047590580213917036,0.21708077743445356,0.00732694386576885,0.21989839112377602
18,1.1784303667338472,1.1301833497334832,0.004864781281642922,0.21630710649163756,0.007501049910259505,0.22068397326556516
19,1.170901501015441,1.1305484469622782,0.004778778257027065,0.21655213342954036,0.007291420493657662,0.21959745958787666
20,1.1639993966442266,1.13067266304199,0.004759661164389898,0.21661520820774444,0.007057822754895782,0.21868423355496638
21,1.1644220746815477,1.131820303936527,0.004791868340275059,0.2167803224635451,0.007325897943738797,0.21823261861931786
22,1.1576729068473048,1.1328117284056258,0.004882930966145168,0.21679648348729905,0.007338065490313725,0.21685845081664656
23,1.1539181473592646,1.1323292598332444,0.00487801739435694,0.21670981568016418,0.007051952507508468,0.21667972424803258
24,1.1643823415177053,1.1329907799420291,0.004945451211924218,0.21670725308868982,0.007563404963228461,0.2177496579684079
25,1.1764520768705569,1.132152740269491,0.004852799711468285,0.2167249513815527,0.007546399008763367,0.22019761780353442
26,1.1516204574336744,1.1327426980619562,0.004895486412825037,0.21675756614502162,0.007257466873188065,0.21580915704165418
