epoch,binary_violence_out_loss,loss,protest_out_loss,val_binary_violence_out_loss,val_loss,val_protest_out_loss,val_violence_out_loss,violence_out_loss
0,0.1285837467944016,1.3098075152936992,0.6011303206035923,0.2133710701168174,2.5254229166808795,1.2307499332842973,0.022781764146786045,0.006575846031107563
1,0.09537247094022205,1.0489840429776893,0.5178563774718239,0.08565164201235773,0.9855998976238759,0.5091923407116847,0.004814934808325417,0.005426531241570784
2,0.08865584781846722,1.0009740431515122,0.5072755066164534,0.08482005828299428,0.9716135092562783,0.49863749742507935,0.004887572194766666,0.005041929770714247
3,0.08735535823228112,0.9859504078881888,0.4993817548613342,0.0843448727538593,0.9552491266572841,0.48500562944916736,0.004851913366783823,0.004979186287934198
4,0.08670921483000056,0.9776382002648568,0.4939480546463052,0.08345243002965906,0.9403511790285338,0.47439220252704295,0.0048696826746108795,0.005014407192569031
5,0.08758636183000777,0.9758418374493345,0.48794558987123277,0.08387321618078117,0.9292874389134169,0.4614145221767165,0.0048506834831107855,0.004996443647442593
6,0.08797579190262458,0.9728239572061764,0.4831745180222874,0.08261997224452361,0.9034290073674693,0.441991832170877,0.004833731328001335,0.004977047985324431
7,0.08726620418814462,0.9602164255798813,0.47441294853806765,0.08351986496446291,0.9031214585890135,0.4371014857861776,0.0048420645468216705,0.004947245480192524
8,0.08619206049028054,0.95362948101854,0.47294677763430565,0.08180979472455527,0.8786963507177074,0.4215590046025787,0.00480883745820287,0.00497224012317583
9,0.08675550424932313,0.9495813534648109,0.4662348242277165,0.08275759704259283,0.89425966072408,0.43228472652288835,0.004818694979515016,0.004956900854464403
10,0.08706900813130317,0.9487362066474754,0.463804870979661,0.08211045389328303,0.889559261526264,0.4307935036489988,0.004821348696674535,0.00495862948645189
11,0.0860638965158772,0.9396770919306131,0.46009471231821186,0.0820001510354064,0.8703737476579972,0.4127130465702799,0.004765994221138142,0.004926289824735355
12,0.0866266196404764,0.9415403635735392,0.4592557535899256,0.08195636387788102,0.869860217432927,0.4126137245840587,0.00474646751665186,0.004915151186821084
13,0.08609666562519695,0.9395366361648998,0.459912538783018,0.08114460273446393,0.8696165399136396,0.41623233680839017,0.004766119012502642,0.004914076884419966
14,0.08591725745456194,0.938110354481634,0.45921067492972745,0.08174895596929695,0.8618498678500335,0.40637073571771487,0.00467343510779371,0.004931339035668529
15,0.0854910640581602,0.9320572263355407,0.4557061247816118,0.080709108736743,0.868714113894583,0.4178096525396503,0.004735892078240876,0.0048895779437690325
16,0.08512420405193925,0.9311027205750719,0.45639016316325354,0.08002520006176261,0.859794247170764,0.4125201983358266,0.00471480502244387,0.004909153670316657
